"File","Id","Status","Matched","Lines","OssLines","Vendor","Component","Version","Latest","Licenses","OssFile","ReleaseDate","Url","Purl","SourceHash","FileHash"
"web/src/features/combo/components/PermanentDeleteConfirm.tsx","snippet","pending","84%","7-46","6-45","different-ai-studio","teamclaw-next","v0.2.0","v0.2.23","MIT","packages/app/src/components/chat/OfflineSendConfirmDialog.tsx","2026-06-09","https://github.com/different-ai-studio/teamclaw-next","pkg:github/different-ai-studio/teamclaw-next","0c57d09a10fa55fa02d64aa0a0f867c1","00ab33fdab9d00c1153ddcac72d89f1e"
"web/src/features/combo/components/PutConfirmDialog.test.tsx","snippet","pending","43%","12-29","64-81","jfolcini","agaric","0.1.18","0.1.18","GPL-3.0-only","src/components/__tests__/ConfirmDestructiveAction.test.tsx","2026-05-08","https://github.com/jfolcini/agaric","pkg:github/jfolcini/agaric","3756e177fd3ffc29de0efe1b7f432ac8","9bc26a100c59d4fdb9d76612f1179c86"
"web/src/features/combo/components/PutConfirmDialog.tsx","snippet","pending","75%","7-31","7-31","mai-with-u","maibot","1.0.0-pre.1","1.0.0-pre.10","GPL-3.0-only","dashboard/src/routes/resource/expression/ExpressionDialogs.tsx","2026-04-18","https://github.com/mai-with-u/maibot","pkg:github/mai-with-u/maibot","9765d3f93ec26a04b9dbba63b9a39cce","2053fd96396cf6ad3f9145ceb5e05e50"
"web/src/features/combo/hooks/useCompareCombos.test.tsx","snippet","pending","23%","2-21","6-25","mmmarxdr","daimon-frontend","v0.6.0","v0.11.1","","src/hooks/__tests__/useProviderModels.test.tsx","2026-04-20","https://github.com/mmmarxdr/daimon-frontend","pkg:github/mmmarxdr/daimon-frontend","78f663923ce220369b24afa54a6055b4","0c1410719524f188c23d57ea4a350023"
"web/src/features/combo/hooks/useTrashCombos.test.ts","snippet","pending","93%","4-58","4-58","ek33450505","cast-desktop","v1.2.0","v1.2.1","MIT","src/dashboard/api/useTokenSpend.test.ts","2026-05-19","https://github.com/ek33450505/cast-desktop","pkg:github/ek33450505/cast-desktop","72d5d73965cda31e674a4c3a3da701f3","cb40ebc994553f30452c6aaeaaf22e69"
"web/src/features/config/QRCodeModal.test.tsx","snippet","pending","28%","16-24","74-82","edehvictor","stellaryield","c2bb08c","03d1459","MIT","client/src/features/alerts/AlertsModal.test.tsx","2026-05-29","https://github.com/edehvictor/stellaryield","pkg:github/edehvictor/stellaryield","ef60a1e18da1112a666ecd0058843591","ed66d16c45a8b716af29b5b5f9c91195"
"web/src/features/config/QRCodeModal.tsx","snippet","pending","27%","22-39","61-78","haven-chat-org","web","build-c91e2f5","build-cb4effd","Vim, Zed, AGPL-3.0","src/components/ExportModal.tsx","2026-02-26","https://github.com/haven-chat-org/web","pkg:github/haven-chat-org/web","b776e0836cf591e2cd4d1d76bf13ea13","82425030988ee057cbb0516d78e89cc2"
"web/src/features/config/SettingsSectionPresetLink.tsx","snippet","pending","31%","4-9","5-10","vegaprotocol","frontend-monorepo","v0.18.0-core-0.68.0","v0.18.4-core-0.68.0","MIT","apps/token/src/routes/home/index.tsx","2023-02-13","https://github.com/vegaprotocol/frontend-monorepo","pkg:github/vegaprotocol/frontend-monorepo","a8840a493e7a560c8b3a84e0eb403bc8","358608132aac9f901833faf3f7f835dd"
"web/src/features/config/useConfig.test.ts","snippet","pending","51%","19-44","64-89","bluewave-labs","verifywise","v2.4","v2.4.1","ISC","Clients/src/application/hooks/__tests__/useGovernanceOs.test.ts","2026-06-24","https://github.com/bluewave-labs/verifywise","pkg:github/bluewave-labs/verifywise","aff0418d3a0a749cd6d82b565a4e1758","a588f633ac26ad1d20ace9b1eb780b99"
"web/src/features/config/useUpdateConfig.ts","snippet","pending","42%","3-14","3-14","golang","github.com/robwittman/pillar","v0.0.0-20260312184534-9233e29350e0","v0.0.0-20260416005233-23d18a8edc44","","web/src/hooks/useConfig.ts","2026-03-12","https://proxy.golang.org/github.com/robwittman/pillar/@v/v0.0.0-20260312184534-9233e29350e0.zip","pkg:golang/github.com/robwittman/pillar | pkg:github/robwittman/pillar","997a3b1f480a8da6e9e36ace673c3f8d","afa19649e1e3934e6eebe820365b5e57"
"web/src/features/data-migration/useDataMigrationNotice.ts","snippet","pending","62%","4-26","2-24","kensaku63","aachat-releases","v1.2.4","v1.2.4","MIT","web/src/lib/queries/projects.ts","2026-03-22","https://github.com/kensaku63/aachat-releases","pkg:github/kensaku63/aachat-releases","1a148e3435e667cc3e375ffe1fa9c8ae","0b3cedc999eba0dcc20c30d4a63d8b06"
"web/src/features/gamepad/gamepad-storage.test.ts","snippet","pending","12%","74-85","66-77","syobon211","vivi2d","v0.1.0-alpha.1","v0.1.0-alpha.2","MIT, Apache-2.0","src/stores/__tests__/themeStore-branch.test.ts","2026-05-29","https://github.com/syobon211/vivi2d","pkg:github/syobon211/vivi2d | pkg:npm/%40vivi2d/web","53ef0d90a385f0289a7aa57632a92560","df5dfb7716372f50681dea7fdc2805e3"
"web/src/features/mycombo/components/CharacterInfoBar.tsx","snippet","pending","33%","23-36","596-609","AlbWud","proxycast","v0.27.0","v0.27.0","","src/components/provider-pool/CredentialCard.tsx","2026-01-02","https://github.com/AlbWud/proxycast","pkg:github/albwud/proxycast","5e93ba400dd3399e54022ed6fef239fa","02771ad87fd3c5abe3420a124173b9f8"
