"File","Id","MatchPercent","Lines","OssLines","Hits","Vendor","Component","Version","Latest","Licenses","Copyleft","Purl","Url","OssFile","Status"
"web/src/components/ui/badge.tsx","file","100","all","all",,"shadcn-ui","ui","shadcn-ui@0.2.0","shadcn@4.0.3","MIT","no","pkg:github/shadcn-ui/ui, pkg:golang/github.com/shadcn-ui/ui, pkg:npm/hghcn, pkg:maven/org.mvnpm/shadcn","https://github.com/shadcn-ui/ui","apps/www/registry/default/ui/badge.tsx","pending"
"web/src/components/ui/button.tsx","file","100","all","all",,"shadcn","ui","shadcn@2.1.1","shadcn@4.0.3","MIT","no","pkg:github/shadcn/ui, pkg:npm/test-cms, pkg:golang/github.com/shadcn/ui, pkg:maven/org.mvnpm/shadcn-ui","https://github.com/shadcn/ui","apps/www/registry/default/ui/button.tsx","pending"
"web/src/components/ui/card.tsx","file","100","all","all",,"shadcn-ui","ui","shadcn@2.1.5","shadcn@4.0.3","MIT","no","pkg:github/shadcn-ui/ui, pkg:golang/github.com/shadcn-ui/ui, pkg:npm/hghcn, pkg:maven/org.mvnpm/shadcn","https://github.com/shadcn-ui/ui","apps/www/registry/default/ui/card.tsx","pending"
"web/src/components/ui/checkbox.tsx","file","100","all","all",,"shadcn","ui","shadcn@3.4.1","shadcn@4.0.3","MIT","no","pkg:github/shadcn/ui, pkg:npm/test-cms, pkg:golang/github.com/shadcn/ui, pkg:maven/org.mvnpm/shadcn-ui","https://github.com/shadcn/ui","apps/www/registry/default/ui/checkbox.tsx","pending"
"web/src/components/ui/dialog.tsx","snippet","93","8-125","7-124","65","trycatch-tv","validadorbootcamp-frontend","2bd24c2","d248ba8","","","pkg:github/trycatch-tv/validadorbootcamp-frontend","https://github.com/trycatch-tv/validadorbootcamp-frontend","src/components/ui/dialog.tsx","pending"
"web/src/components/ui/dropdown-menu.tsx","file","100","all","all",,"shadcn-ui","ui","shadcn@2.4.0","shadcn@4.0.3","MIT","no","pkg:github/shadcn-ui/ui, pkg:golang/github.com/shadcn-ui/ui, pkg:npm/hghcn, pkg:maven/org.mvnpm/shadcn","https://github.com/shadcn-ui/ui","apps/www/registry/default/ui/dropdown-menu.tsx","pending"
"web/src/components/ui/form.tsx","file","100","all","all",,"","github.com/imrany/smart_spore_hub","v0.0.0-20251108194829-9b1ffc9fbf20","v0.0.0-20251111112349-2bd56d582f6d","GPL-3.0-only","yes","pkg:golang/github.com/imrany/smart_spore_hub","https://proxy.golang.org/github.com/imrany/smart_spore_hub/@v/v0.0.0-20251108194829-9b1ffc9fbf20.zip","src/components/ui/form.tsx","pending"
"web/src/components/ui/input.tsx","file","100","all","all",,"","github.com/shadcn-ui/ui","v0.0.0-20241108162601-4a0d4cfdb9f8","v0.0.0-20241108162601-4a0d4cfdb9f8","MIT","no","pkg:golang/github.com/shadcn-ui/ui, pkg:github/shadcn-ui/ui, pkg:npm/hghcn, pkg:maven/org.mvnpm/shadcn","https://proxy.golang.org/github.com/shadcn-ui/ui/@v/v0.0.0-20241108162601-4a0d4cfdb9f8.zip","apps/www/registry/default/ui/input.tsx","pending"
"web/src/components/ui/label.tsx","file","100","all","all",,"","github.com/m4salah/redroc","v0.0.0-20230819213521-70d9ca5fb2b0","v0.0.0-20240408040121-a694bb4db3fd","","","pkg:golang/github.com/m4salah/redroc","https://proxy.golang.org/github.com/m4salah/redroc/@v/v0.0.0-20230819213521-70d9ca5fb2b0.zip","frontend/src/shadcn/ui/label.tsx","pending"
"web/src/components/ui/popover.tsx","file","100","all","all",,"HomeStream-co","homestream","v2.1.2","v2.2.18","MIT","no","pkg:github/homestream-co/homestream","https://github.com/HomeStream-co/homestream","docs/popover.tsx","pending"
"web/src/components/ui/radio-group.tsx","file","100","all","all",,"utmist","utmist2","39d05aa","39d05aa","Apache-2.0","no","pkg:github/utmist/utmist2","https://github.com/utmist/utmist2","app/common/ai2/ui/radio-group.tsx","pending"
"web/src/components/ui/select.tsx","file","100","all","all",,"rafaLino","monthly-control","v2.0.0","v2.7.0","MIT","no","pkg:github/rafalino/monthly-control","https://github.com/rafaLino/monthly-control","src/components/ui/select.tsx","pending"
"web/src/components/ui/sheet.tsx","snippet","96","5-142","6-143","70","Romain Dagnan","vigee-designsystem","1.4.0","1.4.0","ISC","no","pkg:npm/vigee-designsystem","https://www.npmjs.com/package/vigee-designsystem","ui/sheet.tsx","pending"
"web/src/components/ui/sonner.tsx","file","100","all","all",,"novincode","openfields","v0.2.0","v0.3.0","GPL-2.0-only, LGPL-2.1-only","yes, yes","pkg:github/novincode/openfields","https://github.com/novincode/openfields","admin/src/components/ui/sonner.tsx","pending"
"web/src/components/ui/switch.tsx","file","100","all","all",,"Drake0306","Nextjs-Tailwind-radix-shadcn-UI--Staterkit","V0.1","V0.1","MIT","no","pkg:github/drake0306/nextjs-tailwind-radix-shadcn-ui--staterkit","https://github.com/Drake0306/Nextjs-Tailwind-radix-shadcn-UI--Staterkit","registry/default/ui/switch.tsx","pending"
"web/src/components/ui/table.tsx","file","100","all","all",,"Drake0306","Nextjs-Tailwind-radix-shadcn-UI--Staterkit","V0.1","V0.1","MIT","no","pkg:github/drake0306/nextjs-tailwind-radix-shadcn-ui--staterkit","https://github.com/Drake0306/Nextjs-Tailwind-radix-shadcn-UI--Staterkit","registry/default/ui/table.tsx","pending"
"web/src/components/ui/tabs.tsx","file","100","all","all",,"shadcn-ui","ui","shadcn-ui@0.2.0","shadcn@4.0.3","MIT","no","pkg:github/shadcn-ui/ui, pkg:golang/github.com/shadcn-ui/ui, pkg:npm/hghcn, pkg:maven/org.mvnpm/shadcn","https://github.com/shadcn-ui/ui","apps/www/registry/default/ui/tabs.tsx","pending"
"web/src/components/ui/textarea.tsx","file","100","all","all",,"","github.com/shadcn-ui/ui","v0.0.0-20241108162601-4a0d4cfdb9f8","v0.0.0-20241108162601-4a0d4cfdb9f8","MIT","no","pkg:golang/github.com/shadcn-ui/ui, pkg:github/shadcn-ui/ui, pkg:npm/hghcn, pkg:maven/org.mvnpm/shadcn","https://proxy.golang.org/github.com/shadcn-ui/ui/@v/v0.0.0-20241108162601-4a0d4cfdb9f8.zip","apps/www/registry/default/ui/textarea.tsx","pending"
"web/src/components/ui/tooltip.tsx","file","100","all","all",,"robertwhiffin","ai-slide-generator","v0.2.8","v0.4.0","Apache-2.0, ISC, MIT, MIT AND CC0-1.0, 0BSD","no, no, no, , no","pkg:github/robertwhiffin/ai-slide-generator","https://github.com/robertwhiffin/ai-slide-generator","frontend/src/ui/tooltip.tsx","pending"
"web/src/features/auth/authApi.ts","snippet","18","31-45","38-52","4","djryanj","media-viewer","v0.19.0","v0.19.0","MIT","no","pkg:github/djryanj/media-viewer","https://github.com/djryanj/media-viewer","frontend/src/lib/api/client.ts","pending"
"web/src/features/combo-io/components/ImportCommitConfirmDialog.tsx","snippet","21","43-55","26-38","3","SamikBeach","frontend","1.50.0","1.50.0","MIT","no","pkg:github/samikbeach/frontend","https://github.com/samikbeach/frontend","src/app/write-review/LeaveConfirmDialog.tsx","pending"
"web/src/features/combo/components/CharacterChangeConfirmDialog.tsx","snippet","54","7-32","6-31","6","cristian-home","sgte-app","v1.2.0","v1.2.0","","","pkg:github/cristian-home/sgte-app","https://github.com/cristian-home/sgte-app","resources/js/components/admin/delete-user-dialog.tsx","pending"
